iter	Passed	Remaining
442	1444	1816
443	1446	1811
444	1448	1806
445	1450	1802
446	1453	1798
447	1456	1794
448	1457	1788
449	1459	1783
450	1461	1778
451	1462	1773
452	1464	1768
453	1466	1764
454	1469	1759
455	1470	1754
456	1472	1749
457	1474	1745
458	1476	1740
459	1480	1738
460	1482	1733
461	1485	1729
462	1486	1724
463	1488	1719
464	1490	1715
465	1492	1710
466	1497	1708
467	1499	1704
468	1500	1699
469	1502	1694
470	1504	1690
471	1506	1685
472	1510	1682
473	1512	1678
474	1514	1673
475	1516	1669
476	1518	1664
477	1520	1659
478	1522	1655
479	1527	1655
480	1529	1650
481	1531	1646
482	1533	1641
483	1535	1636
484	1537	1632
485	1541	1629
486	1542	1625
487	1544	1620
488	1546	1616
489	1548	1612
490	1550	1607
491	1552	1602
492	1554	1598
493	1556	1594
494	1558	1589
495	1559	1585
496	1561	1580
497	1563	1576
498	1565	1572
499	1569	1569
500	1572	1566
501	1576	1563
502	1579	1560
503	1581	1556
504	1587	1555
505	1589	1551
506	1590	1547
507	1592	1542
508	1594	1538
509	1596	1533
510	1598	1529
511	1600	1525
512	1602	1521
513	1603	1516
514	1605	1512
515	1607	1508
516	1609	1503
517	1611	1499
518	1615	1496
519	1617	1492
520	1619	1488
521	1620	1484
522	1622	1479
523	1624	1475
524	1626	1471
525	1630	1469
526	1632	1464
527	1634	1460
528	1636	1456
529	1638	1452
530	1640	1448
531	1641	1444
532	1645	1441
533	1646	1437
534	1648	1432
535	1650	1428
536	1652	1424
537	1654	1420
538	1656	1416
539	1660	1414
540	1661	1410
541	1663	1405
542	1665	1401
543	1667	1397
544	1668	1393
545	1670	1389
546	1674	1386
547	1675	1382
548	1677	1378
549	1680	1374
550	1682	1370
551	1683	1366
552	1685	1362
553	1687	1358
554	1690	1355
555	1692	1351
556	1694	1347
557	1695	1343
558	1697	1338
559	1698	1334
560	1700	1330
561	1701	1326
562	1705	1323
563	1707	1319
564	1709	1316
565	1711	1312
566	1713	1308
567	1715	1304
568	1716	1300
569	1719	1297
570	1721	1293
571	1722	1289
572	1724	1285
573	1725	1280
574	1727	1276
575	1728	1272
576	1730	1268
577	1731	1264
578	1734	1260
579	1736	1257
580	1738	1253
581	1739	1249
582	1740	1245
583	1742	1241
584	1743	1237
585	1745	1233
586	1746	1228
587	1749	1225
588	1751	1221
589	1752	1217
590	1753	1213
591	1755	1209
592	1756	1205
593	1758	1201
594	1759	1197
595	1761	1193
596	1764	1191
597	1766	1187
598	1768	1183
599	1769	1179
600	1770	1175
601	1772	1171
602	1773	1167
603	1774	1163
604	1776	1159
605	1780	1157
606	1781	1153
607	1783	1149
608	1784	1145
609	1786	1142
610	1787	1138
611	1789	1134
612	1790	1130
613	1792	1126
614	1795	1123
615	1797	1120
616	1798	1116
617	1800	1112
618	1802	1109
619	1803	1105
620	1805	1101
621	1806	1098
622	1809	1095
623	1811	1091
624	1812	1087
625	1814	1083
626	1815	1080
627	1817	1076
628	1818	1072
629	1820	1069
630	1821	1065
631	1824	1062
632	1826	1058
633	1827	1055
634	1829	1051
635	1830	1047
636	1832	1044
637	1833	1040
638	1835	1037
639	1839	1034
640	1842	1031
641	1843	1028
642	1845	1024
643	1846	1020
644	1848	1017
645	1849	1013
646	1851	1010
647	1852	1006
648	1855	1003
649	1857	999
650	1858	996
651	1860	992
652	1861	989
653	1863	985
654	1864	982
655	1866	978
656	1867	974
657	1870	972
658	1871	968
659	1873	965
660	1874	961
661	1876	957
662	1877	954
663	1879	951
664	1880	947
665	1882	944
666	1885	941
667	1886	937
668	1888	934
669	1889	930
670	1890	927
671	1892	923
672	1894	920
673	1895	916
674	1896	913
675	1899	910
676	1901	907
677	1902	903
678	1904	900
679	1906	897
680	1908	893
681	1909	890
682	1911	887
683	1914	884
684	1916	881
685	1917	877
686	1919	874
687	1921	871
688	1922	867
689	1924	864
690	1925	861
691	1926	857
692	1929	854
693	1931	851
694	1933	848
695	1934	845
696	1936	841
697	1937	838
698	1938	834
699	1940	831
700	1941	828
701	1945	825
702	1946	822
703	1948	819
704	1949	815
705	1951	812
706	1952	809
707	1954	805
708	1955	802
709	1956	799
710	1959	796
711	1962	793
712	1964	790
713	1965	787
714	1968	784
715	1969	781
716	1971	778
717	1973	774
718	1975	772
719	1976	768
720	1978	765
721	1979	762
722	1981	759
723	1982	755
724	1984	752
725	1985	749
726	1987	746
727	1990	743
728	1991	740
729	1993	737
730	1994	734
731	1996	730
732	1997	727
733	1998	724
734	2000	721
735	2001	718
736	2004	715
737	2006	712
738	2007	709
739	2009	706
740	2010	702
741	2012	699
742	2013	696
743	2015	693
744	2016	690
745	2020	687
746	2022	684
747	2023	681
748	2025	678
749	2026	675
750	2027	672
751	2029	669
752	2030	666
753	2032	663
754	2035	660
755	2036	657
756	2038	654
757	2039	651
758	2040	648
759	2042	644
760	2043	641
761	2045	638
762	2046	635
763	2050	633
764	2051	630
765	2053	627
766	2055	624
767	2056	621
768	2057	618
769	2059	615
770	2060	612
771	2062	609
772	2065	606
773	2066	603
774	2068	600
775	2069	597
776	2071	594
777	2072	591
778	2074	588
779	2075	585
780	2077	582
781	2080	579
782	2081	576
783	2083	573
784	2084	570
785	2085	567
786	2087	564
787	2089	562
788	2094	560
789	2097	557
790	2099	554
791	2100	551
792	2102	548
793	2104	545
794	2106	543
795	2107	540
796	2109	537
797	2111	534
798	2112	531
799	2114	528
800	2116	525
801	2117	522
802	2118	519
803	2120	516
804	2122	514
805	2124	511
806	2126	508
807	2127	505
808	2129	502
809	2130	499
810	2132	496
811	2133	493
812	2135	491
813	2136	488
814	2139	485
815	2140	482
816	2142	479
817	2143	476
818	2145	474
819	2146	471
820	2148	468
821	2149	465
822	2151	462
823	2154	460
824	2155	457
825	2157	454
826	2158	451
827	2160	448
828	2161	445
829	2163	443
830	2164	440
831	2166	437
832	2169	434
833	2170	432
834	2172	429
835	2173	426
836	2175	423
837	2176	420
838	2178	418
839	2179	415
840	2181	412
841	2184	409
842	2186	407
843	2187	404
844	2189	401
845	2191	398
846	2193	396
847	2195	393
848	2199	391
849	2201	388
850	2203	385
851	2205	383
852	2207	380
853	2209	377
854	2213	375
855	2218	373
856	2221	370
857	2224	368
858	2226	365
859	2230	363
860	2233	360
861	2237	358
862	2241	355
863	2249	354
864	2255	352
865	2258	349
866	2262	347
867	2265	344
868	2267	341
869	2270	339
870	2272	336
871	2277	334
872	2279	331
873	2281	328
874	2283	326
875	2284	323
876	2286	320
877	2288	317
878	2291	315
879	2293	312
880	2295	310
881	2296	307
882	2298	304
883	2299	301
884	2301	299
885	2302	296
886	2307	293
887	2309	291
888	2311	288
889	2312	285
890	2314	283
891	2315	280
892	2317	277
893	2318	274
894	2321	272
895	2324	269
896	2329	267
897	2332	264
898	2337	262
899	2343	260
900	2346	257
901	2356	256
902	2362	253
903	2365	251
904	2372	249
905	2394	248
906	2397	245
907	2403	243
908	2408	241
909	2410	238
910	2411	235
911	2413	232
912	2418	230
913	2420	227
914	2429	225
915	2438	223
916	2440	220
917	2442	218
918	2443	215
919	2448	212
920	2450	210
921	2452	207
922	2454	204
923	2455	201
924	2457	199
925	2458	196
926	2463	194
927	2465	191
928	2467	188
929	2469	185
930	2471	183
931	2472	180
932	2474	177
933	2479	175
934	2482	172
935	2484	169
936	2486	167
937	2487	164
938	2489	161
939	2495	159
940	2498	156
941	2505	154
942	2512	151
943	2514	149
944	2516	146
945	2517	143
946	2519	141
947	2521	138
948	2527	135
949	2528	133
950	2530	130
951	2532	127
952	2534	125
953	2537	122
954	2540	119
955	2542	117
956	2546	114
957	2555	112
958	2558	109
959	2560	106
960	2568	104
961	2573	101
962	2576	98
963	2578	96
964	2585	93
965	2587	91
966	2588	88
967	2592	85
968	2600	83
969	2603	80
970	2605	77
971	2607	75
972	2611	72
973	2614	69
974	2617	67
975	2618	64
976	2620	61
977	2622	58
978	2623	56
979	2626	53
980	2628	50
981	2630	48
982	2632	45
983	2634	42
984	2640	40
985	2643	37
986	2644	34
987	2646	32
988	2647	29
989	2649	26
990	2658	24
991	2660	21
992	2661	18
993	2663	16
994	2664	13
995	2671	10
996	2676	8
997	2678	5
998	2680	2
999	2684	0
